to_email,subject,body,business_name,niche_detected,city,original_niche,email_status
jayspumpkinpatch@gmail.com,Kirksey customers are searching — is Jay's Pumpkin Patch showing up?,"Hi there,

I was looking up local businesses in Kirksey and found Jay's Pumpkin Patch. Without a website, a lot of potential customers won't find you.

I build clean, affordable websites for local businesses — fast turnaround, mobile-friendly, and set up to show on Google.

Happy to send some examples — just to give you an idea of what's possible.

Best,
Dinusha
SiteForge — https://siteforge.lk",Jay's Pumpkin Patch,general,"Kirksey, KY",Kentucky,RISKY
Farmgirl1208@hotmail.com,Harris Farms — have you thought about online orders?,"Hi there,

I was looking for local farms in Benton and came across Harris Farms — great operation you've got.

I build fast, affordable websites for farms — including a product showcase, contact form, and Google Maps listing.

Would you be open to a quick 10-minute chat this week?

Best,
Dinusha
SiteForge — https://siteforge.lk",Harris Farms,farm,"Benton, KY",Kentucky,RISKY
harrison@ken-tennwireless.com,Fulton customers are searching for farms like yours,"Hi there,

I noticed Harrison Farms doesn't have a website yet, and a lot of Fulton locals are searching online for exactly what you offer.

I can build you a site in under a week that shows your products, your story, and makes it easy for people to reach you.

Would you be open to a quick 10-minute chat this week?

Best,
Dinusha
SiteForge — https://siteforge.lk",Harrison Farms,farm,"Fulton, KY",Kentucky,VALID
magneylegacyridgefarm@gmail.com,Magney Legacy Ridge Farm — have you thought about online orders?,"Hi there,

Farms like Magney Legacy Ridge Farm in Princeton are missing out on online orders because customers can't find them easily.

A simple website lets you showcase your products, accept online orders, and get found on Google Maps.

Would you be open to a quick 10-minute chat this week?

Best,
Dinusha
SiteForge — https://siteforge.lk",Magney Legacy Ridge Farm,farm,"Princeton, KY",Kentucky,RISKY
Kslr68@yahoo.com,"Your products deserve to be seen, Little Rayne Farm","Hi there,

I noticed Little Rayne Farm doesn't have a website yet, and a lot of Farmington locals are searching online for exactly what you offer.

A simple website lets you showcase your products, accept online orders, and get found on Google Maps.

I'd love to show you what I've built for other farms — happy to share examples.

Best,
Dinusha
SiteForge — https://siteforge.lk",Little Rayne Farm,farm,"Farmington, KY",Kentucky,RISKY
cpalmer@wk.net,Quick question about Wades Creek Produce,"Hi there,

I noticed Wades Creek Produce doesn't have a website yet, and a lot of Kirksey locals are searching online for exactly what you offer.

I build fast, affordable websites for farms — including a product showcase, contact form, and Google Maps listing.

Can I send you a free mock-up of what a site for Wades Creek Produce could look like?

Best,
Dinusha
SiteForge — https://siteforge.lk",Wades Creek Produce,farm,"Kirksey, KY",Kentucky,RISKY
kalsinbay@wk.net,Spoon Grove Farm — have you thought about online orders?,"Hi there,

I was looking for local farms in Paducah and came across Spoon Grove Farm — great operation you've got.

I can build you a site in under a week that shows your products, your story, and makes it easy for people to reach you.

I'd love to show you what I've built for other farms — happy to share examples.

Best,
Dinusha
SiteForge — https://siteforge.lk",Spoon Grove Farm,farm,"Paducah, KY",Kentucky,RISKY
fikaacresfarm@gmail.com,Lexington customers are searching for farms like yours,"Hi there,

I was looking for local farms in Lexington and came across Fika Acres Farm — great operation you've got.

With a small, clean website I can set up, people in Lexington would be able to find you, see what you sell, and contact you directly.

Can I send you a free mock-up of what a site for Fika Acres Farm could look like?

Best,
Dinusha
SiteForge — https://siteforge.lk",Fika Acres Farm,farm,"Lexington, KY",Kentucky,RISKY
Stephanie.steele.agc@gmail.com,Helping Sutton's Sweet Corn reach more customers,"Hi there,

I noticed Sutton's Sweet Corn in Paducah doesn't have a website. That means customers searching online go straight to competitors.

My websites are built specifically for local businesses in cities like Paducah: mobile-first, Google-optimized, and quick to set up.

No pressure at all — just let me know if it's something worth exploring.

Best,
Dinusha
SiteForge — https://siteforge.lk",Sutton's Sweet Corn,general,"Paducah, KY",Kentucky,RISKY
Patricia.stewart@gmail.com,Helping Rustydog Farm reach more customers online,"Hi there,

I came across Rustydog Farm while researching Hardin farms. Your products look amazing — more people need to know about them.

I can build you a site in under a week that shows your products, your story, and makes it easy for people to reach you.

Would you be open to a quick 10-minute chat this week?

Best,
Dinusha
SiteForge — https://siteforge.lk",Rustydog Farm,farm,"Hardin, KY",Kentucky,RISKY
keithawright@yahoo.com,"Your products deserve to be seen, Wright Farms","Hi there,

People in Paducah are actively looking for local farms and farm-fresh products online — Wright Farms should be showing up.

I can build you a site in under a week that shows your products, your story, and makes it easy for people to reach you.

No pressure at all — just curious if it's something you'd want to explore.

Best,
Dinusha
SiteForge — https://siteforge.lk",Wright Farms,farm,"Paducah, KY",Kentucky,RISKY
Wyatt.jerry@gmail.com,KY Hydro Farm — have you thought about online orders?,"Hi there,

Farms like KY Hydro Farm in Benton are missing out on online orders because customers can't find them easily.

With a small, clean website I can set up, people in Benton would be able to find you, see what you sell, and contact you directly.

Can I send you a free mock-up of what a site for KY Hydro Farm could look like?

Best,
Dinusha
SiteForge — https://siteforge.lk",KY Hydro Farm,farm,"Benton, KY",Kentucky,RISKY
denise@glutenfreemiracles.com,Lexington customers are searching — is Gluten Free Miracles showing up?,"Hi there,

I came across Gluten Free Miracles while researching businesses in Lexington — great operation, but I noticed you don't have a website yet.

My websites are built specifically for local businesses in cities like Lexington: mobile-first, Google-optimized, and quick to set up.

Happy to send some examples — just to give you an idea of what's possible.

Best,
Dinusha
SiteForge — https://siteforge.lk",Gluten Free Miracles,general,"Lexington, KY",Kentucky,VALID
olivesapron@gmail.com,Helping Olive's Apron reach more customers,"Hi there,

I found Olive's Apron online but couldn't find a website. In Lexington, people Google before they visit — you could be missing leads.

My websites are built specifically for local businesses in cities like Lexington: mobile-first, Google-optimized, and quick to set up.

Can I put together a free mock-up for Olive's Apron? No commitment needed.

Best,
Dinusha
SiteForge — https://siteforge.lk",Olive's Apron,general,"Lexington, KY",Kentucky,RISKY
2twosunsfarm@gmail.com,Helping Two Suns Farms reach more customers online,"Hi there,

I was looking for local farms in Lexington and came across Two Suns Farms — great operation you've got.

I can build you a site in under a week that shows your products, your story, and makes it easy for people to reach you.

I'd love to show you what I've built for other farms — happy to share examples.

Best,
Dinusha
SiteForge — https://siteforge.lk",Two Suns Farms,farm,"Lexington, KY",Kentucky,RISKY
gary@macksontheriver.com,Helping Mack's On the River reach more customers,"Hi there,

I came across Mack's On the River while researching businesses in Gulfport — great operation, but I noticed you don't have a website yet.

My websites are built specifically for local businesses in cities like Gulfport: mobile-first, Google-optimized, and quick to set up.

Can I put together a free mock-up for Mack's On the River? No commitment needed.

Best,
Dinusha
SiteForge — https://siteforge.lk",Mack's On the River,general,"Gulfport, MS",Mississippi,VALID
chuckbolton@comcast.net,Quick question about Bolton Mountain Maple Farm LLC,"Hi there,

People in Montpelier are actively looking for local farms and farm-fresh products online — Bolton Mountain Maple Farm LLC should be showing up.

With a small, clean website I can set up, people in Montpelier would be able to find you, see what you sell, and contact you directly.

I'd love to show you what I've built for other farms — happy to share examples.

Best,
Dinusha
SiteForge — https://siteforge.lk",Bolton Mountain Maple Farm LLC,farm,"Montpelier, VT",Vermont,RISKY
braggfarmsugarhouse@aol.com,Bragg Farm Sugarhouse & Gift Shop — have you thought about online orders?,"Hi there,

I came across Bragg Farm Sugarhouse & Gift Shop while researching Montpelier farms. Your products look amazing — more people need to know about them.

I can build you a site in under a week that shows your products, your story, and makes it easy for people to reach you.

Would you be open to a quick 10-minute chat this week?

Best,
Dinusha
SiteForge — https://siteforge.lk",Bragg Farm Sugarhouse & Gift Shop,farm,"Montpelier, VT",Vermont,RISKY
barrywildemaples@gmail.com,Quick question about Branon's Barrywilde Maples LLC,"Hi there,

I came across Branon's Barrywilde Maples LLC while researching Brattleboro farms. Your products look amazing — more people need to know about them.

A simple website lets you showcase your products, accept online orders, and get found on Google Maps.

I'd love to show you what I've built for other farms — happy to share examples.

Best,
Dinusha
SiteForge — https://siteforge.lk",Branon's Barrywilde Maples LLC,farm,"Brattleboro, VT",Vermont,RISKY
Brookfieldbees@gmail.com,A simple idea for Brookfield Bees,"Hi there,

I found Brookfield Bees online but couldn't find a website. In Montpelier, people Google before they visit — you could be missing leads.

I specialize in building websites for businesses that don't have one yet — simple, professional, and affordable.

Can I put together a free mock-up for Brookfield Bees? No commitment needed.

Best,
Dinusha
SiteForge — https://siteforge.lk",Brookfield Bees,general,"Montpelier, VT",Vermont,RISKY
Buckmtnmaplefarm@gmail.com,Helping Buck Mountain Maple Bee & Tree Farm reach more customers online,"Hi there,

People in Montpelier are actively looking for local farms and farm-fresh products online — Buck Mountain Maple Bee & Tree Farm should be showing up.

I build fast, affordable websites for farms — including a product showcase, contact form, and Google Maps listing.

No pressure at all — just curious if it's something you'd want to explore.

Best,
Dinusha
SiteForge — https://siteforge.lk",Buck Mountain Maple Bee & Tree Farm,farm,"Montpelier, VT",Vermont,RISKY
Karen@cbmaplefarm.com,"Your products deserve to be seen, Carman Brook Farm LLC","Hi there,

People in Montpelier are actively looking for local farms and farm-fresh products online — Carman Brook Farm LLC should be showing up.

With a small, clean website I can set up, people in Montpelier would be able to find you, see what you sell, and contact you directly.

I'd love to show you what I've built for other farms — happy to share examples.

Best,
Dinusha
SiteForge — https://siteforge.lk",Carman Brook Farm LLC,farm,"Montpelier, VT",Vermont,VALID
ainley.geo@gmail.com,Quick question for George Ainley,"Hi there,

I found George Ainley online but couldn't find a website. In Burlington, people Google before they visit — you could be missing leads.

I specialize in building websites for businesses that don't have one yet — simple, professional, and affordable.

Happy to send some examples — just to give you an idea of what's possible.

Best,
Dinusha
SiteForge — https://siteforge.lk",George Ainley,general,"Burlington, VT",Vermont,RISKY
jim@jasbecker.com,Jim Becker — getting found online in Brattleboro?,"Hi there,

I noticed Jim Becker in Brattleboro doesn't have a website. That means customers searching online go straight to competitors.

I build clean, affordable websites for local businesses — fast turnaround, mobile-friendly, and set up to show on Google.

Happy to send some examples — just to give you an idea of what's possible.

Best,
Dinusha
SiteForge — https://siteforge.lk",Jim Becker,general,"Brattleboro, VT",Vermont,VALID
richard@bissellwoodworking.com,Montpelier customers are searching — is Richard Bissell showing up?,"Hi there,

I was looking up local businesses in Montpelier and found Richard Bissell. Without a website, a lot of potential customers won't find you.

A simple site for Richard Bissell would make it easy for Montpelier customers to find you, see what you offer, and get in touch.

Would it make sense to jump on a quick call and see if a website is the right fit for Richard Bissell?

Best,
Dinusha
SiteForge — https://siteforge.lk",Richard Bissell,general,"Montpelier, VT",Vermont,VALID
dboynton@ezcloud.com,Burlington customers are searching — is David Boynton showing up?,"Hi there,

I was looking up local businesses in Burlington and found David Boynton. Without a website, a lot of potential customers won't find you.

I specialize in building websites for businesses that don't have one yet — simple, professional, and affordable.

Happy to send some examples — just to give you an idea of what's possible.

Best,
Dinusha
SiteForge — https://siteforge.lk",David Boynton,general,"Burlington, VT",Vermont,VALID
jasonebreen@gmail.com,Quick question for Jason Breen,"Hi there,

I came across Jason Breen and wanted to reach out — a simple website could make a big difference for your Brattleboro customers.

My websites are built specifically for local businesses in cities like Brattleboro: mobile-first, Google-optimized, and quick to set up.

Would it make sense to jump on a quick call and see if a website is the right fit for Jason Breen?

Best,
Dinusha
SiteForge — https://siteforge.lk",Jason Breen,general,"Brattleboro, VT",Vermont,RISKY
tim@timothyclark.com,Timothy Clark — getting found online in Montpelier?,"Hi there,

I came across Timothy Clark and wanted to reach out — a simple website could make a big difference for your Montpelier customers.

I specialize in building websites for businesses that don't have one yet — simple, professional, and affordable.

Happy to send some examples — just to give you an idea of what's possible.

Best,
Dinusha
SiteForge — https://siteforge.lk",Timothy Clark,general,"Montpelier, VT",Vermont,VALID
br@fieldstonearts.com,BR Delaney — getting found online in Burlington?,"Hi there,

I found BR Delaney online but couldn't find a website. In Burlington, people Google before they visit — you could be missing leads.

I specialize in building websites for businesses that don't have one yet — simple, professional, and affordable.

Would it make sense to jump on a quick call and see if a website is the right fit for BR Delaney?

Best,
Dinusha
SiteForge — https://siteforge.lk",BR Delaney,general,"Burlington, VT",Vermont,VALID
eric@longwalkwoodworking.com,Quick question for Eric Diven,"Hi there,

I came across Eric Diven and wanted to reach out — a simple website could make a big difference for your Brattleboro customers.

My websites are built specifically for local businesses in cities like Brattleboro: mobile-first, Google-optimized, and quick to set up.

Would it make sense to jump on a quick call and see if a website is the right fit for Eric Diven?

Best,
Dinusha
SiteForge — https://siteforge.lk",Eric Diven,general,"Brattleboro, VT",Vermont,VALID
chris@chrisericsonfurniture.com,Chris Ericson — getting found online in Burlington?,"Hi there,

I noticed Chris Ericson in Burlington doesn't have a website. That means customers searching online go straight to competitors.

I build clean, affordable websites for local businesses — fast turnaround, mobile-friendly, and set up to show on Google.

Can I put together a free mock-up for Chris Ericson? No commitment needed.

Best,
Dinusha
SiteForge — https://siteforge.lk",Chris Ericson,general,"Burlington, VT",Vermont,VALID
bob@gasperetti.com,Helping Bob Gasperetti reach more customers,"Hi there,

I came across Bob Gasperetti and wanted to reach out — a simple website could make a big difference for your Brattleboro customers.

A simple site for Bob Gasperetti would make it easy for Brattleboro customers to find you, see what you offer, and get in touch.

Can I put together a free mock-up for Bob Gasperetti? No commitment needed.

Best,
Dinusha
SiteForge — https://siteforge.lk",Bob Gasperetti,general,"Brattleboro, VT",Vermont,VALID
gcabmak@gmail.com,Helping Greg Goodman reach more customers,"Hi there,

I noticed Greg Goodman in Montpelier doesn't have a website. That means customers searching online go straight to competitors.

I build clean, affordable websites for local businesses — fast turnaround, mobile-friendly, and set up to show on Google.

Would it make sense to jump on a quick call and see if a website is the right fit for Greg Goodman?

Best,
Dinusha
SiteForge — https://siteforge.lk",Greg Goodman,general,"Montpelier, VT",Vermont,RISKY
dho@davidhurwitzoriginals.com,A simple idea for David Hurwitz,"Hi there,

I found David Hurwitz online but couldn't find a website. In Burlington, people Google before they visit — you could be missing leads.

My websites are built specifically for local businesses in cities like Burlington: mobile-first, Google-optimized, and quick to set up.

Happy to send some examples — just to give you an idea of what's possible.

Best,
Dinusha
SiteForge — https://siteforge.lk",David Hurwitz,general,"Burlington, VT",Vermont,VALID
david@lewiswoodshop.com,Quick question for David Lewis,"Hi there,

I came across David Lewis and wanted to reach out — a simple website could make a big difference for your Brattleboro customers.

I specialize in building websites for businesses that don't have one yet — simple, professional, and affordable.

Would it make sense to jump on a quick call and see if a website is the right fit for David Lewis?

Best,
Dinusha
SiteForge — https://siteforge.lk",David Lewis,general,"Brattleboro, VT",Vermont,VALID
johnlomasfurniture@gmail.com,Quick question for John Lomas,"Hi there,

I came across John Lomas while researching businesses in Montpelier — great operation, but I noticed you don't have a website yet.

A simple site for John Lomas would make it easy for Montpelier customers to find you, see what you offer, and get in touch.

Happy to send some examples — just to give you an idea of what's possible.

Best,
Dinusha
SiteForge — https://siteforge.lk",John Lomas,general,"Montpelier, VT",Vermont,RISKY
wardjoyce1@hotmail.com,Burlington homeowners search before they hire — is Ward Joyce Design showing up?,"Hi there,

I came across Ward Joyce Design while researching Burlington builders. A portfolio site could bring you quote requests on autopilot.

My contractor sites are built to generate quote requests: clean, mobile-friendly, and easy for clients to navigate.

I'd love to show you what a site for Ward Joyce Design could look like — can I send a sample?

Best,
Dinusha
SiteForge — https://siteforge.lk",Ward Joyce Design,construction,"Burlington, VT",Vermont,RISKY
